recipient_county_name,recipient_congressional_district,implan_code,County/Districtistrict/Both?,new_implan_code,imp_code_diff,formula
SUTTER,1,302,Both,298,8,
TEHAMA,1,377,County,376,10,487
HUMBOLDT,2,481,County,482,1,
INYO,3,376,County,381,12,
EL DORADO,5,330,County,352,18,
STANISLAUS,5,286,County,285,1,285
SOLANO,8,296,County,297,1,
SOLANO,8,336,County,339,1,337
ALAMEDA,12,245,District,246,1,246
SAN MATEO,15,285,County,279,1,284
SANTA CLARA,16,283,County,279,1,282
SAN BENITO,18,377,County,381,10,487
KERN,20,160,County,162,2,
SAN BERNARDINO,23,314,District,315,1,
SAN BERNARDINO,23,339,District,337,2,
SAN LUIS OBISPO,24,252,County,259,1,253
SANTA BARBARA,24,221,Both,222,1,
SANTA BARBARA,24,290,County,292,2,
VENTURA,26,291,County,290,1,
LOS ANGELES,27,233,District,234,1,
LOS ANGELES,29,257,District,256,2,255
LOS ANGELES,30,281,District,284,3,
LOS ANGELES,38,254,District,256,1,255
RIVERSIDE,39,336,District,339,1,
SAN DIEGO,51,257,District,256,2,255
